@RELATION touch

@ATTRIBUTE pressure		REAL
@ATTRIBUTE size		 	REAL
@ATTRIBUTE touchmajor	REAL
@ATTRIBUTE touchminor	REAL
@ATTRIBUTE duration		REAL
@ATTRIBUTE flytime		REAL
@ATTRIBUTE shake		REAL
@ATTRIBUTE orientation	INTEGER
@ATTRIBUTE type 		INTEGER
@ATTRIBUTE class 	{Navid,Others}

@DATA
1.0,0.04656863,5.79834,5.79834,108,243,29.28529,1,1,Others
1.0,0.05490196,6.8359375,6.8359375,117,855,20.550888,1,1,Others
1.0,0.045490198,5.6640625,5.6640625,90,1073,5.633651,1,1,Others
1.0,0.052941177,6.591797,6.591797,107,245,5.887571,1,1,Others
1.0,0.04967321,6.184896,6.184896,90,503,4.3533263,1,1,Others
1.0,0.050000004,6.225586,6.225586,91,102,21.12589,1,1,Others
1.0,0.04509804,5.6152344,5.6152344,91,0,42.800396,1,1,Others
1.0,0.06187364,7.703993,7.703993,117,308,76.569336,1,1,Others
1.0,0.054248367,6.754557,6.754557,82,160,108.8489,1,1,Others
1.0,0.04705883,5.859375,5.859375,63,1236,44.631172,1,1,Others
1.0,0.04640523,5.7779946,5.7779946,74,261,110.08973,1,1,Others
1.0,0.047058824,5.859375,5.859375,133,1114,43.479996,1,1,Others
1.0,0.045938376,5.7198663,5.7198663,99,152,17.90672,1,1,Others
1.0,0.046274513,5.7617188,5.7617188,101,118,10.208159,1,1,Others
1.0,0.04019608,5.004883,5.004883,68,209,50.457962,1,1,Others
1.0,0.05294118,6.591797,6.591797,65,0,6.983439,1,1,Others
1.0,0.063305326,7.8822546,7.8822546,99,260,8.508667,1,1,Others
1.0,0.053921573,6.713867,6.713867,91,345,101.934525,1,1,Others
1.0,0.04901961,6.1035156,6.1035156,71,999,89.186745,1,1,Others
1.0,0.052941177,6.591797,6.591797,131,1289,0.7111955,1,1,Others
1.0,0.06100218,7.595486,7.595486,141,1151,61.96948,1,1,Others
1.0,0.050980393,6.3476563,6.3476563,90,681,34.675762,1,1,Others
1.0,0.045490198,5.6640625,5.6640625,65,202,61.768284,1,1,Others
1.0,0.044257704,5.5106025,5.5106025,91,305,10.462368,1,1,Others
1.0,0.049019612,6.1035156,6.1035156,59,0,26.62593,1,2,Others
1.0,0.049019612,6.1035156,6.1035156,58,75,200.24843,1,2,Others
1.0,0.05294118,6.591797,6.591797,89,788,75.34925,1,2,Others
1.0,0.055686276,6.9335938,6.9335938,64,731,37.82557,1,2,Others
1.0,0.05019608,6.25,6.25,74,227,210.03247,1,2,Others
1.0,0.049019612,6.1035156,6.1035156,89,1372,0.80477285,1,2,Others
1.0,0.04836602,6.0221353,6.0221353,66,226,38.3876,1,2,Others
1.0,0.04705883,5.859375,5.859375,48,152,125.64826,1,2,Others
1.0,0.050980397,6.3476563,6.3476563,90,2446,170.85541,1,2,Others
1.0,0.05019608,6.25,6.25,66,1094,3.043595,1,2,Others
1.0,0.055882357,6.958008,6.958008,92,0,63.40042,1,1,Others
1.0,0.05294118,6.591797,6.591797,64,730,29.157978,1,1,Others
1.0,0.04156863,5.1757813,5.1757813,74,210,49.50871,1,1,Others
1.0,0.046274513,5.7617188,5.7617188,75,523,2.5936763,1,1,Others
1.0,0.050326798,6.266276,6.266276,74,592,20.656492,1,1,Others
1.0,0.049673203,6.184896,6.184896,83,432,49.54494,1,1,Others
1.0,0.04705883,5.859375,5.859375,116,972,38.108906,1,1,Others
1.0,0.050980393,6.3476563,6.3476563,100,211,44.69311,1,1,Others
1.0,0.05490196,6.8359375,6.8359375,108,67,71.62184,1,1,Others
1.0,0.04803922,5.9814453,5.9814453,83,572,38.349022,1,1,Others
1.0,0.052941177,6.591797,6.591797,91,0,57.14064,1,2,Others
1.0,0.0464986,5.7896204,5.7896204,91,176,79.675,1,2,Others
1.0,0.049019612,6.1035156,6.1035156,73,637,9.776671,1,2,Others
1.0,0.058169935,7.2428384,7.2428384,109,1577,16.161364,1,2,Others
1.0,0.053921573,6.713867,6.713867,89,1441,43.09694,1,2,Others
1.0,0.057142857,7.1149554,7.1149554,91,999,15.022801,1,2,Others
1.0,0.058169935,7.2428384,7.2428384,99,34,63.10142,1,2,Others
1.0,0.050326798,6.266276,6.266276,74,84,6.8745756,1,2,Others
1.0,0.043137256,5.3710938,5.3710938,91,143,8.31076,1,2,Others
1.0,0.044444446,5.533854,5.533854,67,101,63.37787,1,2,Others
1.0,0.053333335,6.640625,6.640625,90,0,100.32209,1,1,Others
1.0,0.040522877,5.0455728,5.0455728,83,101,87.1915,1,1,Others
1.0,0.04313726,5.3710938,5.3710938,77,158,32.64916,1,1,Others
1.0,0.054901965,6.8359375,6.8359375,90,201,21.947464,1,1,Others
1.0,0.05294118,6.591797,6.591797,90,881,3.2191718,1,1,Others
1.0,0.05210084,6.487165,6.487165,91,296,44.80371,1,1,Others
1.0,0.049019612,6.1035156,6.1035156,66,316,92.48856,1,1,Others
1.0,0.05647059,7.03125,7.03125,90,202,59.25822,1,1,Others
1.0,0.050326798,6.266276,6.266276,89,0,83.39377,1,1,Others
1.0,0.052287582,6.5104165,6.5104165,74,144,52.56187,1,1,Others
1.0,0.04156863,5.1757813,5.1757813,73,653,11.378752,1,1,Others
1.0,0.049673203,6.184896,6.184896,74,385,11.032423,1,1,Others
1.0,0.05490197,6.8359375,6.8359375,56,1116,81.28467,1,1,Others
1.0,0.049859945,6.2081475,6.2081475,81,1343,10.375181,1,1,Others
1.0,0.04392157,5.46875,5.46875,113,755,33.024426,1,1,Others
